Ensembl	Name	AltNames	Biotype	GeneLength	SumExonLength	Chr
FBgn0000003	7SLRNA:CR32864	7SLRNA-RA,7SLRNA	lincRNA	299	299	3R
FBgn0000008	a	a-RC	protein_coding	35867	5414	2R
FBgn0000011	ab		protein_coding	50401	5140	2L
FBgn0000014	abd-A	abd-A-RA	protein_coding	22836	5477	3R
FBgn0000015	Abd-B	Abd-B-RB	protein_coding	45027	7719	3R
FBgn0000017	Abl	Abl-RB	protein_coding	32017	12819	3L
FBgn0000018	abo	abo-RA	protein_coding	1851	1794	2L
FBgn0000022	ac	ac-RA	protein_coding	917	917	X
FBgn0000024	Ace	Ace-RB	protein_coding	36567	8473	3R
FBgn0000028	acj6	acj6-RD	protein_coding	28826	4433	X
FBgn0000032	Acph-1	Acph-1-RB	protein_coding	2268	2024	3R
FBgn0000036	nAChRalpha1	nAcRalpha-96Aa,nAcRalpha-96Aa-RA	protein_coding	63262	11027	3R
FBgn0000037	mAChR-A	mAcR-60C-RB,mAcR-60C	protein_coding	11665	5425	2R
FBgn0000038	nAChRbeta1	nAcRbeta-64B,nAcRbeta-64B-RA	protein_coding	6645	2974	3L
FBgn0000039	nAChRalpha2	nAcRalpha-96Ab,nAcRalpha-96Ab-RB	protein_coding	5720	2387	3R
FBgn0000042	Act5C	Act5C-RA	protein_coding	4539	2978	X
FBgn0000043	Act42A	Act42A-RA	protein_coding	1780	1626	2R
FBgn0000044	Act57B	Act57B-RC	protein_coding	2411	1724	2R
FBgn0000045	Act79B	Act79B-RA	protein_coding	1981	1619	3L
FBgn0000046	Act87E	Act87E-RA	protein_coding	2393	1989	3R
FBgn0000047	Act88F	Act88F-RA	protein_coding	2209	1595	3R
FBgn0000052	ade2	ade2-RC	protein_coding	4870	4434	2L
FBgn0000053	ade3	ade3-RB	protein_coding	9276	4780	2L
FBgn0000054	Adf1	Adf1-RA	protein_coding	5821	1800	2R
FBgn0000055	Adh	Adh-RI	protein_coding	3351	2254	2L
FBgn0000056	Adhr	Adhr-RB	protein_coding	3351	2116	2L
